Bransch;Region;År;Värde;Hex;RGB
okänd verksamhet;Ludvika;2015;85;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Ludvika;2015;200;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Ludvika;2015;4063;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Ludvika;2015;134;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Ludvika;2015;854;#eb12c8;rgb(235, 18, 200)
handel;Ludvika;2015;1019;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Ludvika;2015;330;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Ludvika;2015;310;#faff01;rgb(250, 255, 1)
information och kommunikation;Ludvika;2015;57;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Ludvika;2015;52;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Ludvika;2015;245;#ec9eed;rgb(236, 158, 237)
företagstjänster;Ludvika;2015;1178;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Ludvika;2015;501;#fcac34;rgb(252, 172, 52)
utbildning ;Ludvika;2015;1066;#8f0e25;rgb(143, 14, 37)
kulturella och personliga tjänster m.m.;Ludvika;2015;428;#FF8080;rgb(255, 128, 128)
"vård och omsorg; sociala tjänster";Ludvika;2015;2188;#f5370d;rgb(245, 55, 13)
okänd verksamhet;Avesta;2015;78;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Avesta;2015;246;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Avesta;2015;2667;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Avesta;2015;102;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Avesta;2015;741;#eb12c8;rgb(235, 18, 200)
handel;Avesta;2015;1115;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Avesta;2015;575;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Avesta;2015;204;#faff01;rgb(250, 255, 1)
information och kommunikation;Avesta;2015;66;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Avesta;2015;44;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Avesta;2015;87;#ec9eed;rgb(236, 158, 237)
företagstjänster;Avesta;2015;742;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Avesta;2015;277;#fcac34;rgb(252, 172, 52)
utbildning ;Avesta;2015;971;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Avesta;2015;1765;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Avesta;2015;348;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Hedemora;2015;72;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Hedemora;2015;302;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Hedemora;2015;1200;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Hedemora;2015;106;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Hedemora;2015;508;#eb12c8;rgb(235, 18, 200)
handel;Hedemora;2015;631;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Hedemora;2015;299;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Hedemora;2015;204;#faff01;rgb(250, 255, 1)
information och kommunikation;Hedemora;2015;34;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Hedemora;2015;57;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Hedemora;2015;154;#ec9eed;rgb(236, 158, 237)
företagstjänster;Hedemora;2015;395;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Hedemora;2015;145;#fcac34;rgb(252, 172, 52)
utbildning ;Hedemora;2015;621;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Hedemora;2015;1673;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Hedemora;2015;206;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Säter;2015;59;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Säter;2015;262;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Säter;2015;337;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Säter;2015;21;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Säter;2015;365;#eb12c8;rgb(235, 18, 200)
handel;Säter;2015;248;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Säter;2015;121;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Säter;2015;49;#faff01;rgb(250, 255, 1)
information och kommunikation;Säter;2015;16;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Säter;2015;14;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Säter;2015;40;#ec9eed;rgb(236, 158, 237)
företagstjänster;Säter;2015;165;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Säter;2015;125;#fcac34;rgb(252, 172, 52)
utbildning ;Säter;2015;437;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Säter;2015;1134;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Säter;2015;171;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Borlänge;2015;697;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Borlänge;2015;363;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Borlänge;2015;3835;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Borlänge;2015;351;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Borlänge;2015;2124;#eb12c8;rgb(235, 18, 200)
handel;Borlänge;2015;3914;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Borlänge;2015;1661;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Borlänge;2015;909;#faff01;rgb(250, 255, 1)
information och kommunikation;Borlänge;2015;823;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Borlänge;2015;175;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Borlänge;2015;361;#ec9eed;rgb(236, 158, 237)
företagstjänster;Borlänge;2015;2658;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Borlänge;2015;2795;#fcac34;rgb(252, 172, 52)
utbildning ;Borlänge;2015;2552;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Borlänge;2015;3788;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Borlänge;2015;912;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Falun;2015;318;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Falun;2015;655;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Falun;2015;2541;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Falun;2015;212;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Falun;2015;1734;#eb12c8;rgb(235, 18, 200)
handel;Falun;2015;2417;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Falun;2015;737;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Falun;2015;743;#faff01;rgb(250, 255, 1)
information och kommunikation;Falun;2015;551;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Falun;2015;369;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Falun;2015;456;#ec9eed;rgb(236, 158, 237)
företagstjänster;Falun;2015;3006;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Falun;2015;2371;#fcac34;rgb(252, 172, 52)
utbildning ;Falun;2015;3148;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Falun;2015;7414;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Falun;2015;1311;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Mora;2015;83;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Mora;2015;647;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Mora;2015;1720;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Mora;2015;66;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Mora;2015;921;#eb12c8;rgb(235, 18, 200)
handel;Mora;2015;1171;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Mora;2015;300;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Mora;2015;357;#faff01;rgb(250, 255, 1)
information och kommunikation;Mora;2015;114;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Mora;2015;72;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Mora;2015;109;#ec9eed;rgb(236, 158, 237)
företagstjänster;Mora;2015;625;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Mora;2015;359;#fcac34;rgb(252, 172, 52)
utbildning ;Mora;2015;931;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Mora;2015;2581;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Mora;2015;421;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Smedjebacken;2015;48;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Smedjebacken;2015;146;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Smedjebacken;2015;858;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Smedjebacken;2015;64;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Smedjebacken;2015;234;#eb12c8;rgb(235, 18, 200)
handel;Smedjebacken;2015;216;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Smedjebacken;2015;96;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Smedjebacken;2015;49;#faff01;rgb(250, 255, 1)
information och kommunikation;Smedjebacken;2015;17;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Smedjebacken;2015;18;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Smedjebacken;2015;72;#ec9eed;rgb(236, 158, 237)
företagstjänster;Smedjebacken;2015;206;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Smedjebacken;2015;105;#fcac34;rgb(252, 172, 52)
utbildning ;Smedjebacken;2015;374;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Smedjebacken;2015;668;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Smedjebacken;2015;138;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Älvdalen;2015;41;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Älvdalen;2015;260;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Älvdalen;2015;346;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Älvdalen;2015;46;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Älvdalen;2015;303;#eb12c8;rgb(235, 18, 200)
handel;Älvdalen;2015;252;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Älvdalen;2015;115;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Älvdalen;2015;176;#faff01;rgb(250, 255, 1)
information och kommunikation;Älvdalen;2015;7;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Älvdalen;2015;3;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Älvdalen;2015;67;#ec9eed;rgb(236, 158, 237)
företagstjänster;Älvdalen;2015;71;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Älvdalen;2015;110;#fcac34;rgb(252, 172, 52)
utbildning ;Älvdalen;2015;321;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Älvdalen;2015;470;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Älvdalen;2015;321;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Orsa;2015;25;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Orsa;2015;215;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Orsa;2015;103;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Orsa;2015;42;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Orsa;2015;348;#eb12c8;rgb(235, 18, 200)
handel;Orsa;2015;155;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Orsa;2015;260;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Orsa;2015;141;#faff01;rgb(250, 255, 1)
information och kommunikation;Orsa;2015;20;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Orsa;2015;7;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Orsa;2015;57;#ec9eed;rgb(236, 158, 237)
företagstjänster;Orsa;2015;165;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Orsa;2015;96;#fcac34;rgb(252, 172, 52)
utbildning ;Orsa;2015;204;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Orsa;2015;395;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Orsa;2015;173;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Rättvik;2015;70;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Rättvik;2015;302;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Rättvik;2015;448;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Rättvik;2015;62;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Rättvik;2015;418;#eb12c8;rgb(235, 18, 200)
handel;Rättvik;2015;382;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Rättvik;2015;133;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Rättvik;2015;249;#faff01;rgb(250, 255, 1)
information och kommunikation;Rättvik;2015;22;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Rättvik;2015;21;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Rättvik;2015;58;#ec9eed;rgb(236, 158, 237)
företagstjänster;Rättvik;2015;258;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Rättvik;2015;96;#fcac34;rgb(252, 172, 52)
utbildning ;Rättvik;2015;461;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Rättvik;2015;876;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Rättvik;2015;259;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Leksand;2015;165;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Leksand;2015;358;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Leksand;2015;701;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Leksand;2015;99;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Leksand;2015;538;#eb12c8;rgb(235, 18, 200)
handel;Leksand;2015;1624;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Leksand;2015;134;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Leksand;2015;431;#faff01;rgb(250, 255, 1)
information och kommunikation;Leksand;2015;68;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Leksand;2015;74;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Leksand;2015;122;#ec9eed;rgb(236, 158, 237)
företagstjänster;Leksand;2015;476;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Leksand;2015;239;#fcac34;rgb(252, 172, 52)
utbildning ;Leksand;2015;627;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Leksand;2015;919;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Leksand;2015;324;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Gagnef;2015;72;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Gagnef;2015;200;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Gagnef;2015;575;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Gagnef;2015;19;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Gagnef;2015;377;#eb12c8;rgb(235, 18, 200)
handel;Gagnef;2015;225;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Gagnef;2015;95;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Gagnef;2015;30;#faff01;rgb(250, 255, 1)
information och kommunikation;Gagnef;2015;19;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Gagnef;2015;20;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Gagnef;2015;17;#ec9eed;rgb(236, 158, 237)
företagstjänster;Gagnef;2015;246;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Gagnef;2015;112;#fcac34;rgb(252, 172, 52)
utbildning ;Gagnef;2015;405;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Gagnef;2015;675;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Gagnef;2015;105;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Malung-Sälen;2015;54;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Malung-Sälen;2015;314;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Malung-Sälen;2015;393;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Malung-Sälen;2015;84;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Malung-Sälen;2015;547;#eb12c8;rgb(235, 18, 200)
handel;Malung-Sälen;2015;603;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Malung-Sälen;2015;187;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Malung-Sälen;2015;366;#faff01;rgb(250, 255, 1)
information och kommunikation;Malung-Sälen;2015;19;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Malung-Sälen;2015;23;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Malung-Sälen;2015;93;#ec9eed;rgb(236, 158, 237)
företagstjänster;Malung-Sälen;2015;329;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Malung-Sälen;2015;167;#fcac34;rgb(252, 172, 52)
utbildning ;Malung-Sälen;2015;522;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Malung-Sälen;2015;808;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Malung-Sälen;2015;936;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Vansbro;2015;53;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Vansbro;2015;206;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Vansbro;2015;665;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Vansbro;2015;9;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Vansbro;2015;224;#eb12c8;rgb(235, 18, 200)
handel;Vansbro;2015;327;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Vansbro;2015;48;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Vansbro;2015;53;#faff01;rgb(250, 255, 1)
information och kommunikation;Vansbro;2015;17;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Vansbro;2015;8;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Vansbro;2015;31;#ec9eed;rgb(236, 158, 237)
företagstjänster;Vansbro;2015;122;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Vansbro;2015;85;#fcac34;rgb(252, 172, 52)
utbildning ;Vansbro;2015;289;#8f0e25;rgb(143, 14, 37)
