Bransch;Region;År;Värde;Hex;RGB
"vård och omsorg; sociala tjänster";Vansbro;2015;597;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Vansbro;2015;97;#FF8080;rgb(255, 128, 128)
jordbruk, skogsbruk och fiske;Ludvika;2014;199;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Ludvika;2014;4106;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Ludvika;2014;133;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Ludvika;2014;842;#eb12c8;rgb(235, 18, 200)
handel;Ludvika;2014;1001;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Ludvika;2014;343;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Ludvika;2014;321;#faff01;rgb(250, 255, 1)
information och kommunikation;Ludvika;2014;104;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Ludvika;2014;53;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Ludvika;2014;235;#ec9eed;rgb(236, 158, 237)
företagstjänster;Ludvika;2014;1100;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Ludvika;2014;527;#fcac34;rgb(252, 172, 52)
utbildning ;Ludvika;2014;1043;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Ludvika;2014;2115;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Ludvika;2014;425;#FF8080;rgb(255, 128, 128)
okänt;Ludvika;2014;166;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Avesta;2014;259;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Avesta;2014;2698;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Avesta;2014;109;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Avesta;2014;761;#eb12c8;rgb(235, 18, 200)
handel;Avesta;2014;1097;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Avesta;2014;545;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Avesta;2014;187;#faff01;rgb(250, 255, 1)
information och kommunikation;Avesta;2014;68;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Avesta;2014;49;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Avesta;2014;82;#ec9eed;rgb(236, 158, 237)
företagstjänster;Avesta;2014;703;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Avesta;2014;278;#fcac34;rgb(252, 172, 52)
utbildning ;Avesta;2014;916;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Avesta;2014;1712;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Avesta;2014;371;#FF8080;rgb(255, 128, 128)
okänt;Avesta;2014;95;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Hedemora;2014;306;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Hedemora;2014;1307;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Hedemora;2014;108;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Hedemora;2014;597;#eb12c8;rgb(235, 18, 200)
handel;Hedemora;2014;621;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Hedemora;2014;216;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Hedemora;2014;183;#faff01;rgb(250, 255, 1)
information och kommunikation;Hedemora;2014;40;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Hedemora;2014;63;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Hedemora;2014;134;#ec9eed;rgb(236, 158, 237)
företagstjänster;Hedemora;2014;391;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Hedemora;2014;141;#fcac34;rgb(252, 172, 52)
utbildning ;Hedemora;2014;614;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Hedemora;2014;1590;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Hedemora;2014;194;#FF8080;rgb(255, 128, 128)
okänt;Hedemora;2014;90;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Säter;2014;266;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Säter;2014;344;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Säter;2014;22;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Säter;2014;326;#eb12c8;rgb(235, 18, 200)
handel;Säter;2014;236;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Säter;2014;135;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Säter;2014;52;#faff01;rgb(250, 255, 1)
information och kommunikation;Säter;2014;16;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Säter;2014;12;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Säter;2014;46;#ec9eed;rgb(236, 158, 237)
företagstjänster;Säter;2014;202;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Säter;2014;117;#fcac34;rgb(252, 172, 52)
utbildning ;Säter;2014;447;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Säter;2014;1103;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Säter;2014;171;#FF8080;rgb(255, 128, 128)
okänt;Säter;2014;62;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Borlänge;2014;379;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Borlänge;2014;3854;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Borlänge;2014;359;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Borlänge;2014;2107;#eb12c8;rgb(235, 18, 200)
handel;Borlänge;2014;3829;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Borlänge;2014;1657;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Borlänge;2014;869;#faff01;rgb(250, 255, 1)
information och kommunikation;Borlänge;2014;780;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Borlänge;2014;133;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Borlänge;2014;369;#ec9eed;rgb(236, 158, 237)
företagstjänster;Borlänge;2014;2574;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Borlänge;2014;2699;#fcac34;rgb(252, 172, 52)
utbildning ;Borlänge;2014;2503;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Borlänge;2014;3712;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Borlänge;2014;934;#FF8080;rgb(255, 128, 128)
okänt;Borlänge;2014;646;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Falun;2014;672;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Falun;2014;2544;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Falun;2014;220;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Falun;2014;1666;#eb12c8;rgb(235, 18, 200)
handel;Falun;2014;2423;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Falun;2014;686;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Falun;2014;639;#faff01;rgb(250, 255, 1)
information och kommunikation;Falun;2014;562;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Falun;2014;392;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Falun;2014;479;#ec9eed;rgb(236, 158, 237)
företagstjänster;Falun;2014;3032;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Falun;2014;2397;#fcac34;rgb(252, 172, 52)
utbildning ;Falun;2014;3017;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Falun;2014;7232;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Falun;2014;1363;#FF8080;rgb(255, 128, 128)
okänt;Falun;2014;333;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Mora;2014;611;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Mora;2014;1749;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Mora;2014;71;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Mora;2014;880;#eb12c8;rgb(235, 18, 200)
handel;Mora;2014;1155;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Mora;2014;292;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Mora;2014;397;#faff01;rgb(250, 255, 1)
information och kommunikation;Mora;2014;118;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Mora;2014;67;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Mora;2014;150;#ec9eed;rgb(236, 158, 237)
företagstjänster;Mora;2014;574;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Mora;2014;402;#fcac34;rgb(252, 172, 52)
utbildning ;Mora;2014;939;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Mora;2014;2608;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Mora;2014;405;#FF8080;rgb(255, 128, 128)
okänt;Mora;2014;89;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Smedjebacken;2014;136;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Smedjebacken;2014;908;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Smedjebacken;2014;22;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Smedjebacken;2014;283;#eb12c8;rgb(235, 18, 200)
handel;Smedjebacken;2014;215;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Smedjebacken;2014;99;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Smedjebacken;2014;53;#faff01;rgb(250, 255, 1)
information och kommunikation;Smedjebacken;2014;8;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Smedjebacken;2014;16;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Smedjebacken;2014;25;#ec9eed;rgb(236, 158, 237)
företagstjänster;Smedjebacken;2014;294;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Smedjebacken;2014;116;#fcac34;rgb(252, 172, 52)
utbildning ;Smedjebacken;2014;371;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Smedjebacken;2014;680;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Smedjebacken;2014;131;#FF8080;rgb(255, 128, 128)
okänt;Smedjebacken;2014;45;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Älvdalen;2014;278;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Älvdalen;2014;355;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Älvdalen;2014;47;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Älvdalen;2014;304;#eb12c8;rgb(235, 18, 200)
handel;Älvdalen;2014;228;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Älvdalen;2014;102;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Älvdalen;2014;175;#faff01;rgb(250, 255, 1)
information och kommunikation;Älvdalen;2014;8;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Älvdalen;2014;2;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Älvdalen;2014;72;#ec9eed;rgb(236, 158, 237)
företagstjänster;Älvdalen;2014;73;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Älvdalen;2014;95;#fcac34;rgb(252, 172, 52)
utbildning ;Älvdalen;2014;336;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Älvdalen;2014;486;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Älvdalen;2014;302;#FF8080;rgb(255, 128, 128)
okänt;Älvdalen;2014;52;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Orsa;2014;216;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Orsa;2014;114;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Orsa;2014;49;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Orsa;2014;342;#eb12c8;rgb(235, 18, 200)
handel;Orsa;2014;145;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Orsa;2014;236;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Orsa;2014;171;#faff01;rgb(250, 255, 1)
information och kommunikation;Orsa;2014;13;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Orsa;2014;7;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Orsa;2014;52;#ec9eed;rgb(236, 158, 237)
företagstjänster;Orsa;2014;187;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Orsa;2014;70;#fcac34;rgb(252, 172, 52)
utbildning ;Orsa;2014;221;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Orsa;2014;430;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Orsa;2014;120;#FF8080;rgb(255, 128, 128)
okänt;Orsa;2014;45;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Rättvik;2014;297;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Rättvik;2014;452;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Rättvik;2014;33;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Rättvik;2014;406;#eb12c8;rgb(235, 18, 200)
handel;Rättvik;2014;390;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Rättvik;2014;145;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Rättvik;2014;243;#faff01;rgb(250, 255, 1)
information och kommunikation;Rättvik;2014;22;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Rättvik;2014;18;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Rättvik;2014;54;#ec9eed;rgb(236, 158, 237)
företagstjänster;Rättvik;2014;238;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Rättvik;2014;94;#fcac34;rgb(252, 172, 52)
utbildning ;Rättvik;2014;457;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Rättvik;2014;853;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Rättvik;2014;256;#FF8080;rgb(255, 128, 128)
okänt;Rättvik;2014;69;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Leksand;2014;340;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Leksand;2014;711;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Leksand;2014;104;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Leksand;2014;541;#eb12c8;rgb(235, 18, 200)
handel;Leksand;2014;1608;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Leksand;2014;137;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Leksand;2014;446;#faff01;rgb(250, 255, 1)
information och kommunikation;Leksand;2014;54;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Leksand;2014;70;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Leksand;2014;120;#ec9eed;rgb(236, 158, 237)
företagstjänster;Leksand;2014;478;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Leksand;2014;250;#fcac34;rgb(252, 172, 52)
utbildning ;Leksand;2014;604;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Leksand;2014;859;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Leksand;2014;363;#FF8080;rgb(255, 128, 128)
okänt;Leksand;2014;235;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Gagnef;2014;186;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Gagnef;2014;557;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Gagnef;2014;26;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Gagnef;2014;353;#eb12c8;rgb(235, 18, 200)
handel;Gagnef;2014;241;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Gagnef;2014;91;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Gagnef;2014;33;#faff01;rgb(250, 255, 1)
information och kommunikation;Gagnef;2014;19;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Gagnef;2014;15;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Gagnef;2014;18;#ec9eed;rgb(236, 158, 237)
företagstjänster;Gagnef;2014;212;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Gagnef;2014;122;#fcac34;rgb(252, 172, 52)
utbildning ;Gagnef;2014;404;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Gagnef;2014;640;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Gagnef;2014;95;#FF8080;rgb(255, 128, 128)
okänt;Gagnef;2014;64;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Malung;2014;287;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Malung;2014;380;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Malung;2014;78;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Malung;2014;554;#eb12c8;rgb(235, 18, 200)
handel;Malung;2014;644;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Malung;2014;190;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Malung;2014;357;#faff01;rgb(250, 255, 1)
information och kommunikation;Malung;2014;19;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Malung;2014;23;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Malung;2014;106;#ec9eed;rgb(236, 158, 237)
företagstjänster;Malung;2014;323;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Malung;2014;166;#fcac34;rgb(252, 172, 52)
utbildning ;Malung;2014;506;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Malung;2014;765;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Malung;2014;999;#FF8080;rgb(255, 128, 128)
okänt;Malung;2014;66;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Vansbro;2014;205;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Vansbro;2014;655;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Vansbro;2014;9;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Vansbro;2014;232;#eb12c8;rgb(235, 18, 200)
handel;Vansbro;2014;305;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Vansbro;2014;57;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Vansbro;2014;51;#faff01;rgb(250, 255, 1)
information och kommunikation;Vansbro;2014;19;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Vansbro;2014;8;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Vansbro;2014;31;#ec9eed;rgb(236, 158, 237)
företagstjänster;Vansbro;2014;151;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Vansbro;2014;87;#fcac34;rgb(252, 172, 52)
utbildning ;Vansbro;2014;283;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Vansbro;2014;584;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Vansbro;2014;98;#FF8080;rgb(255, 128, 128)
okänt;Vansbro;2014;67;#ebe2e2;rgb(235, 226, 226)
